name, full_name, valid, irrelevant, missing, invalid, cpp, cs, objc, go, java, coffee, js, ts, ruby, php, python, perl, clojure, erlang, haskell, scala 
"yi","Fuuzetsu/yi",4061,697,31,0,11,0,0,0,0,0,0,0,0,0,0,6,0,0,14,0
"gatling","gplassard/gatling",2616,561,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"gorp","GeertJohan/gorp",131,54,69,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0
"odometer","GerHobbelt/odometer",100,132,5,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
"glances","Giamma94/glances",393,239,382,0,0,0,0,0,0,0,9,0,0,0,379,0,0,0,0,0
"otp","GinjaNinja32/otp",6253,2422,2681,0,710,0,0,0,31,0,2,0,0,0,11,1,0,2084,0,0
"Polycode","GovanifY/Polycode",688,187,267,0,250,0,25,0,0,0,5,0,0,0,6,0,0,0,0,0
"jsx","GrandCru/jsx",611,260,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"goose","GravityLabs/goose",135,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pandas","GuessWhoSamFoo/pandas",5903,1272,830,0,32,0,0,0,0,0,0,0,0,0,801,0,0,0,0,0
"SeeGit","Haacked/SeeGit",77,43,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cabal","mpkh/cabal",3818,838,30,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
"tiedot","HouzuoGuo/tiedot",234,51,90,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
"retinajs","Iamronan/retinajs",30,52,35,0,0,0,0,0,0,18,17,0,0,0,0,0,0,0,0,0
"django-crispy-forms","IanLee1521/django-crispy-forms",499,442,127,0,0,0,0,0,0,0,13,0,0,0,114,0,0,0,0,0
"pyapns","Instagram/pyapns",37,25,12,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0
"hakyll","Javran/hakyll",826,358,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
"qml","Jenyay/qml",140,26,23,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"vowpal_wabbit","JohnLangford/vowpal_wabbit",48,456,1470,0,1448,77,0,0,0,0,0,0,0,0,5,1,0,0,0,0
"elli","K2InformaticsGmbH/elli",224,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"proper","K2InformaticsGmbH/proper",301,76,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"ranch","K2InformaticsGmbH/ranch",74,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"octopi","LAC1213/octopi",348,56,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rakudo","LLFourn/rakudo",786,5813,8017,0,70,0,0,0,2,0,0,0,0,0,0,7966,0,0,0,0
"cheshire","Leonidas-from-XIV/cheshire",253,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"rootbeer1","Lexine/rootbeer1",426,142,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"zeus","Lexxville/zeus",372,148,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"CraftBukkit","LinEvil/CraftBukkit",2306,160,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"socketstream","ListnPlay/socketstream",404,253,38,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
"jquery-bracket","Luttenegger/jquery-bracket",29,16,23,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0
"hugo","MarkDBlackwell/hugo",243,78,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"qupzilla","Martii/qupzilla",2106,247,48,0,46,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"TodoTxtJs","MartinSGill/TodoTxtJs",159,40,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Futile","MattRix/Futile",347,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adaptive-Images","MattWilcox/Adaptive-Images",42,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
